web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551348860-20282","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Arellano","I love my Echo plus","February 26, 2018","I love my Echo plus, I can actually turn my lights of at night with out me getting up the bed. Its awesome.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_329?ie=UTF8&pageNumber=329&reviewerType=all_reviews"
"1551348271-18186","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Peggy Pack","Fun device","May 26, 2018","Easy to use and convenience is good for one area of house. Need additional devices to have service in other parts of home. Want to be able to play my play list from any music service.  Want easier use of calling from my contacts.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews"
"1551349063-20323","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","NAME_NOT_RETURNED","Very easy to set up","February 2, 2018","Very easy to set up. Picks up my voice from anywhere. Sound quality is good. Still learning about everything Alexa can do.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_334?ie=UTF8&pageNumber=334&reviewerType=all_reviews"
"1551348432-18752","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Nancy M.","Best thing for my day!","January 25, 2019","I love this! I received it as a gift and have used it daily for music and getting weather and news information.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_137?ie=UTF8&pageNumber=137&reviewerType=all_reviews"
"1551348714-19758","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Bruno Pascuzzi","Five Stars","March 16, 2018","THANX","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_263?ie=UTF8&pageNumber=263&reviewerType=all_reviews"
"1551350692-20384","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Live in Star Trek world: computer, dim lights and play Ariana Grande","August 26, 2018","Great to modernize your home. Good sound and easy to use","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_341?ie=UTF8&pageNumber=341&reviewerType=all_reviews"
"1551348564-19210","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Estephany Alvarado","Super helpful, and the volume goes pretty high","May 17, 2018","We Loooove Alexa!!! Super helpful, and the volume goes pretty high. We definitely recommend her!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_195?ie=UTF8&pageNumber=195&reviewerType=all_reviews"
"1551348830-20181","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Caprio59","Speak slowly","January 9, 2018","I love it's Bluetooth connection ability.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_316?ie=UTF8&pageNumber=316&reviewerType=all_reviews"
"1551348126-17677","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Cylon6","Wow. Impressive audio, bass too","July 21, 2018","I bought this on prime day and saved lots.

I have 3 large blue tooth speakers in my house that I used for years, the echo plus was louder than all 3 combined at the same time. Very impressed with the clarity and volume.

You will need a paid subscription to some form of steaming audio. That’s just a sad fact. It’ll play pandora and Spotify but it’s limited in skips and song selection without a subscription

Does not stream YouTube music or YouTube audio

Apple users will be disappointed to see that it’s not as convenient as an apple device

Overall, I still loved the device but I’ll be getting the DOT which has an audio out jack (as does the echo plus) and just connect to external speakers","5.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews"
"1551348179-17868","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","MaryEl","I'm having trouble connecting to the internet","November 5, 2018","Every day we have to struggle to reconnect our Echo Plus to the internet. Our Echo stays connected with no problem. We have even had them in the same room, with the Echo Plus disconnecting daily. SO FRUSTRATING!
As a follow up, I am pleased with how quickly Amazon called us to help with our connectivity issues. A refurbished replacement is on the way, so we are hoping to have better luck with it. Stay tuned....no pun intended.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Echo-Plus-built-Hub-Generation/product-reviews/B015S1SWLO/ref=cm_cr_arp_d_paging_btm_27?ie=UTF8&pageNumber=27&reviewerType=all_reviews"
