web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href
"1551345480-12017","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","david hicks","Great bedside manner","December 11, 2018","Amazon’s website","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_206?ie=UTF8&pageNumber=206&reviewerType=all_reviews"
"1551345544-12234","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Samuel G.","Excellent product.","January 20, 2019","I have a first generation Echo Show and loved it so much that I ordered this one, and it's a great addition. One in my office and the other in my bedroom.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_233?ie=UTF8&pageNumber=233&reviewerType=all_reviews"
"1551345221-11167","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Kayla Tiefenthaler","Awesome!","January 14, 2019","I love this product! The quality of video is great, easy access to everything I look for. I have used it mostly for Hulu and listening to music at this point but am excited to try recipes and other things on it in the future. The sound is great. Very easy to set up. Would definitely recommend.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_100?ie=UTF8&pageNumber=100&reviewerType=all_reviews"
"1551345081-10686","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Pete","Does not work with Hulu or Ring like described.","November 21, 2018","Time will tell but currently it doesn't work smoothly with Hulu or Ring Products. Ring I was able to open 1 out of 5 times. Hulu it just stared back at me doing nothing. Had everything installed and linked. Nothing.","2.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_39?ie=UTF8&pageNumber=39&reviewerType=all_reviews"
"1551345099-10748","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","GoodCook","What the ??????","January 11, 2019","The Echo is just HORRIBLE.  I ask for simple things like a spaghetti recipe by Ina Garten (she only has hundreds of recipes on the net) and Alexa tells me  “sure” and then proceeds to bring up every spaghetti recipe on the planet but NONE by Ina Garten.  So then I go to my cookbook and get the EXACT NAME OF A RECIPE BY INA GARTEN - maybe I have done something wrong.  I give this to Alexa which SHE CAN’T FIND??  She can answer about 1 in every 50 questions I ask her. However she seems to be excellent at suggesting products and services I could buy from AMAZON.  (imagine that!!)  I got this as a gift for Christmas, I did not buy it. If I had I would be demanding a refund!! But, I’m going to put the device in some unused room in the house and forget her.  WHAT A WASTE OF MONEY!!!!!!!","1.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_47?ie=UTF8&pageNumber=47&reviewerType=all_reviews"
"1551345431-11880","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Miles W.","Works great","December 26, 2018","Put it in the kitchen and it works great. I get my weather and news while I wait for my morning coffee.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_189?ie=UTF8&pageNumber=189&reviewerType=all_reviews"
"1551345455-11963","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Luis Gomez","Best voice enabled video device!","December 7, 2018","I love the new design and the sound! Can't wait for future software updates to push this device to its limit!","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_199?ie=UTF8&pageNumber=199&reviewerType=all_reviews"
"1551345287-11405","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Amazon Customer","Love it- speaker is amazing","December 12, 2018","The screen size is great and the speaker is very loud. You can get step by step recipe instructions, watch shows, have video calls. I love it","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_129?ie=UTF8&pageNumber=129&reviewerType=all_reviews"
"1551345051-10572","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Daniel C","Echo Show is My Choice","December 7, 2018","Wow! Deciding between Echo Show and Google Home is tough because most reviewers don’t own either. I finally decided on Echo Show because it controls more things, allows video chats, has a bigger screen, and gives me extras at no cost because of my Prime Membership (like Amazon Music).

Be aware that you need to decide which control convention to go with (Z-wave or Zigbee). I chose Zigbee because the switches and plugs that use Zigbee seemed to be a little cheaper than Z-wave devices. That means Echo’s higher cost can be offset by cheaper accessories. As you add more items, the difference adds up.

WiFi controlled devices will work with either Echo or Google but could begin to slow down your Internet due to traffic jams in your router. Z-wave and Zigbee apparently don’t go through the router.

Also be aware of the feud between Amazon and Google is kind of like between Sony’s Beta Max VCR and the VHS format. One will win and half of us will be left with outdated technology.

Smart ahome setup is beyond the capabilities of most home owners and you may need the help of a Tech Guru at additional cost. But if you just want to plug it in and surf while you cook, it’s not too hard to do.

Being able to check who’s at the front door, see when packages arrive, remotely control lights, are all easier for those with limited mobility, but they still need enough tech smarts to be able to make it work. Probably not a good option for a Grandparrent who doesn’t know how to use their smart phone.","4.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_25?ie=UTF8&pageNumber=25&reviewerType=all_reviews"
"1551345144-10910","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_dp_d_show_all_top?ie=UTF8&reviewerType=all_reviews","Michael M","Surprised how much the sound has improved!","November 15, 2018","I have several Gen 1 Echo Shows and got the new version primarily for the larger screen so it came as a pleasant surprise to hear just how much the sound has improved. Disappointed that there is no line out on this model but with sound this good from the built-in speakers it really won't be an issue.","5.0 out of 5 stars","Next page→","https://www.amazon.com/All-new-Echo-Show-2nd-Gen/product-reviews/B077SXWSRP/ref=cm_cr_arp_d_paging_btm_67?ie=UTF8&pageNumber=67&reviewerType=all_reviews"
